timestamp,event_type,description,type
2025-04-08 16:43:48,active_app,Code.exe | collect_1.py - pythonProject - Visual Studio Code ,coding
2025-04-08 16:43:53,active_app,opera.exe | Facebook - Opera ,browsing
2025-04-08 16:44:33,active_app,Code.exe | user_logs.csv - pythonProject - Visual Studio Code ,coding
2025-04-08 16:45:48,active_app,opera.exe | Facebook - Opera ,browsing
2025-04-08 16:46:48,active_app,opera.exe | (3989) YouTube - Opera ,browsing
2025-04-08 16:46:58,active_app,opera.exe |  ,browsing
2025-04-08 16:47:38,active_app,explorer.exe | C:\Users\My PC\PycharmProjects\pythonProject ,other
2025-04-08 16:47:58,active_app,explorer.exe | Network ,other
2025-04-08 16:48:13,active_app,explorer.exe | \\DESKTOP-370H1KC ,other
2025-04-08 16:48:18,active_app,explorer.exe | Admin ,other
2025-04-08 16:48:28,active_app,explorer.exe | This PC ,other
2025-04-08 16:48:43,active_app,explorer.exe | Pictures ,other
2025-04-08 16:48:48,active_app,Photos.exe | Screenshot 2025-04-08 095417.png ,other
2025-04-08 16:48:53,active_app,opera.exe |  ,browsing
2025-04-08 16:49:08,active_app,Unknown | Unknown ,other
2025-04-08 16:49:13,active_app,opera.exe | (3989) YouTube - Opera ,browsing
2025-04-08 16:49:33,active_app,opera.exe |  ,browsing
2025-04-08 16:49:38,active_app,opera.exe | Customer 360: Unified Customer Views For Sales And Marketing - Opera ,browsing
2025-04-08 16:49:43,active_app,opera.exe | Facebook - Opera ,browsing
2025-04-08 16:49:48,active_app,opera.exe | google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjEgsu_r8eMAxU_rlYBHTndB8wQFnoECEUQAQ&url=https%3A%2F%2Fgist.github.com%2Fmatthayes%2F4614332&usg=AOvVaw16IX7W3QC4dVBP4REhGksL&opi=89978449 - Opera ,browsing
2025-04-08 16:49:53,active_app,opera.exe | Sample clickstream data · GitHub - Opera ,browsing
2025-04-08 16:50:13,active_app,opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:18,active_app,opera.exe | Sample clickstream data · GitHub - Opera ,browsing
2025-04-08 16:50:23,active_app,opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:24,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:24,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:24,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:24,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:24,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:24,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:25,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:25,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:25,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:25,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:25,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:26,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:26,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:27,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:27,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:27,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:27,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:27,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:29,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:29,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:29,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:29,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:29,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:31,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:32,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:32,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:32,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:32,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:33,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:33,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:33,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:33,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:33,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:34,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:34,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:35,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:35,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:35,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:35,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:36,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:37,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:37,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:37,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:37,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:37,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:37,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:38,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:38,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
2025-04-08 16:50:38,keypress,type something | opera.exe | Sign in to GitHub · GitHub - Opera ,browsing
